이미지 이름                    PID 세션 이름              세션#  메모리 사용 상태            사용자 이름                                            CPU 시간 창 제목                                                                  
svchost.exe                   5608 Services                   0      4,824 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
vmware-usbarbitrator64.ex     5708 Services                   0     10,312 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
vmware-authd.exe              5736 Services                   0     11,672 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:56 N/A                                                                      
svchost.exe                   5744 Services                   0     11,920 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                      
vmms.exe                      5760 Services                   0     26,372 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:02 N/A                                                                      
svchost.exe                   6452 Services                   0     10,736 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
unsecapp.exe                  6884 Services                   0      6,348 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                   7372 Services                   0      6,592 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:01 N/A                                                                      
vmware-hostd.exe              7732 Services                   0     29,496 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:03 N/A                                                                      
svchost.exe                   8032 Services                   0      8,836 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:04 N/A                                                                      
WmiPrvSE.exe                  8260 Services                   0     14,516 K Unknown         NT AUTHORITY\SYSTEM                                     0:01:28 N/A                                                                      
svchost.exe                   8268 Services                   0      8,152 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                      
vmcompute.exe                 8448 Services                   0      9,028 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                   8976 Services                   0     10,540 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                   9168 Services                   0      6,276 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
PresentationFontCache.exe     7904 Services                   0     23,040 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
svchost.exe                   9232 Services                   0     14,916 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:05 N/A                                                                      
svchost.exe                   9508 Services                   0      7,180 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                   9856 Services                   0     18,208 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
svchost.exe                  10376 Services                   0      8,296 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                  10432 Services                   0     10,008 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
NisSrv.exe                   10628 Services                   0      9,672 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
SearchIndexer.exe            11500 Services                   0     64,024 K Unknown         NT AUTHORITY\SYSTEM                                     0:01:06 N/A                                                                      
GoogleCrashHandler.exe       12024 Services                   0      1,120 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                  12108 Services                   0     17,852 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
svchost.exe                  12148 Services                   0     18,028 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                      
GoogleCrashHandler64.exe     12392 Services                   0        416 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                  13008 Services                   0      6,860 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
svchost.exe                  13760 Services                   0      9,644 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
SecurityHealthService.exe    15252 Services                   0     14,088 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                      
Docker.Watchguard.exe        16980 Services                   0      2,056 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
conhost.exe                  17000 Services                   0      5,172 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
vpnkit-bridge.exe            18164 Services                   0     13,036 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:07 N/A                                                                      
conhost.exe                  18176 Services                   0      5,188 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                  17428 Services                   0     16,064 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                      
Docker.Watchguard.exe         9824 Services                   0      2,064 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
conhost.exe                  17700 Services                   0      5,184 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
vmwp.exe                     17044 Services                   0     18,596 K Unknown         NT VIRTUAL MACHINE\01582113-1C04-4E52-AE33-2CF3C62      0:00:01 N/A                                                                      
vmmem                        12448 Services                   0          N/A Unknown         NT VIRTUAL MACHINE\01582113-1C04-4E52-AE33-2CF3C62      0:02:22 N/A                                                                      
Docker.Watchguard.exe         5380 Services                   0      2,072 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
conhost.exe                  18208 Services                   0      5,188 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                  14476 Services                   0     16,080 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:20 N/A                                                                      
IAStorDataMgrSvc.exe          8516 Services                   0     71,024 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                      
SgrmBroker.exe                5356 Services                   0      6,836 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                      
svchost.exe                  16688 Services                   0      9,532 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
svchost.exe                   8396 Services                   0     12,048 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:07 N/A                                                                      
svchost.exe                   5152 Services                   0      8,244 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
OSPPSVC.EXE                  22508 Services                   0     12,068 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:02 N/A                                                                      
svchost.exe                  23348 Services                   0     19,652 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:02 N/A                                                                      
svchost.exe                   5368 Services                   0     10,072 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
audiodg.exe                  33352 Services                   0     18,164 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:01:18 N/A                                                                      
svchost.exe                   4692 Services                   0      6,004 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                  24428 Services                   0      8,664 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
SearchProtocolHost.exe       12884 Services                   0     12,592 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
SearchFilterHost.exe         23660 Services                   0      6,460 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
WmiPrvSE.exe                 21412 Services                   0     10,724 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                      
